1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.006281	0.000000	284.266832	0.008415	12.2
1	-1.026729	0.000000	284.266832	0.007586	1.2
2	-1.047052	0.000000	284.266832	0.007147	2.3
3	-1.008828	0.000000	284.266832	0.009088	1.3
4	-1.031635	0.998364	271.365798	0.004371	2.1
5	-1.037672	0.748699	274.480945	0.006134	2.4
6	-1.056829	1.748644	262.415793	0.005270	2.0
7	-1.052089	1.490279	265.430384	0.005546	1.8
8	-1.020846	2.490258	254.131032	0.004377	2.0
9	-1.025106	3.490235	243.754442	0.004272	1.7
10	-1.036952	3.443022	244.225266	0.005272	1.6
11	-1.049890	3.184655	246.834342	0.006626	2.1
12	-1.023417	4.184655	237.033360	0.006223	1.6
13	-1.052363	5.184654	227.980994	0.006552	3.0
14	-1.053705	6.184654	219.594609	0.008836	1.5
15	-1.007236	7.184654	211.803326	0.005711	2.4
16	-1.038951	8.184654	204.545973	0.005487	1.5
17	-1.039270	7.926303	206.372844	0.007022	1.4
18	-1.033895	8.926303	199.476809	0.007372	1.2
19	-1.046634	9.926303	193.026739	0.007354	1.5
20	-1.062802	10.926303	186.980729	0.008287	1.5
21	-1.060001	10.668057	188.505519	0.005868	2.0
22	-1.070709	10.409692	190.056098	0.006739	2.3
23	-1.022102	10.194100	191.369631	0.006541	2.3
24	-1.043326	11.194100	185.425388	0.006749	1.5
25	-1.058635	12.194100	179.839294	0.003975	1.8
26	-1.044200	13.182382	174.639773	0.006766	1.7
27	-1.069915	14.182382	169.675932	0.006621	1.2
28	-1.058932	15.182382	164.986471	0.006759	1.2
29	-1.028851	14.924015	166.173057	0.003646	1.2
30	-1.070850	15.924015	161.672651	0.007724	1.2
31	-1.080223	16.839757	157.760090	0.008254	1.2
32	-1.021781	17.839757	153.698270	0.004819	1.2
33	-1.058937	18.839757	149.840358	0.005308	1.2
34	-1.056301	19.839745	146.171419	0.005258	1.1
35	-1.036082	20.839745	142.677817	0.005196	1.2
36	-1.049250	21.839745	139.347315	0.004793	1.2
37	-1.041142	22.828257	136.204448	0.005845	1.2
38	-1.046217	23.828257	133.166086	0.008245	1.2
39	-1.027062	23.575035	133.922575	0.004666	1.2
40	-1.041199	24.574861	130.984567	0.004965	1.3
41	-1.059163	25.571331	128.181937	0.007320	2.0
42	-1.073792	26.571331	125.487418	0.004595	1.5
43	-1.047134	27.571330	122.903851	0.005213	2.1
44	-1.073897	27.352069	123.461179	0.005574	2.0
45	-1.038604	28.352068	120.959541	0.006250	1.7
46	-1.084516	28.124042	121.521017	0.005215	1.8
47	-1.035092	29.124042	119.096611	0.005613	1.8
48	-1.059133	30.024805	116.994147	0.007557	1.7
49	-1.070625	31.024805	114.745332	0.004821	1.2
50	-1.030959	32.024805	112.581339	0.004946	1.2
51	-1.044909	33.024802	110.497460	0.005737	1.2
52	-1.047565	34.024802	108.489321	0.004497	1.4
53	-1.045334	35.024802	106.552870	0.004176	1.5
54	-1.078795	34.766436	107.046529	0.005765	1.4
55	-1.033640	35.766436	105.160793	0.005413	1.4
56	-1.053582	36.766436	103.340345	0.006063	1.5
57	-1.025176	37.702377	101.692704	0.004318	1.2
58	-1.028514	38.701627	99.990633	0.006598	1.2
59	-1.034848	39.077953	99.364296	0.005647	1.3
60	-1.040036	40.077953	97.737452	0.006789	1.6
61	-1.045852	41.077953	96.163021	0.004918	1.5
62	-1.049346	42.077953	94.638510	0.007041	1.6
63	-1.039510	43.077487	93.162260	0.003579	2.4
64	-1.049173	44.077487	91.730701	0.008569	2.3
65	-1.055805	43.819241	92.096165	0.005189	2.1
66	-1.071941	44.819241	90.696936	0.005606	1.8
67	-1.056327	45.819238	89.339592	0.005300	2.0
68	-1.077647	46.819238	88.022273	0.006280	2.1
69	-1.070761	47.819238	86.743237	0.006975	1.7
70	-1.057564	48.819238	85.500840	0.006104	1.6
71	-1.057806	49.819237	84.293530	0.006027	1.5
72	-1.035378	50.819237	83.119839	0.004539	2.1
73	-1.045838	51.774910	82.028318	0.004540	2.8
74	-1.040940	52.774897	80.916460	0.005122	1.4
75	-1.069958	52.516530	81.200833	0.005008	1.3
76	-1.054773	53.516530	80.111130	0.004325	1.7
77	-1.041575	53.258164	80.389861	0.003708	1.6
78	-1.064632	52.999798	80.670538	0.009498	1.6
79	-1.061939	53.999798	79.594928	0.004577	1.6
80	-1.085687	54.999798	78.547623	0.004630	2.0
81	-1.056497	54.780695	78.774726	0.004563	2.1
82	-1.071397	54.530200	79.035981	0.004745	1.9
83	-1.077506	55.530196	78.003243	0.004464	2.3
84	-1.072744	55.271966	78.267335	0.006951	1.7
85	-1.060665	55.013600	78.533361	0.006201	1.7
86	-1.053400	56.013600	77.513627	0.004992	1.5
87	-1.064270	55.755242	77.774538	0.007088	1.7
88	-1.042663	56.755193	76.774338	0.008185	1.2
89	-1.040955	56.496826	77.030296	0.004023	1.3
90	-1.035715	57.496824	76.048981	0.006318	1.5
91	-1.075040	57.259579	76.279524	0.009509	1.3
92	-1.043778	58.255005	75.321470	0.009068	1.3
93	-1.052598	59.255005	74.382943	0.007233	1.2
94	-1.038558	60.255005	73.467517	0.006252	1.2
95	-1.029067	59.996639	73.701866	0.004749	1.2
96	-1.064595	60.996639	72.803026	0.005903	1.2
97	-1.051901	61.993493	71.928573	0.003693	1.2
98	-1.018091	62.259566	71.698710	0.005230	1.2
99	-1.051683	62.001199	71.921894	0.007707	1.2
100	-1.050363	61.742833	72.146472	0.004534	1.7
101	-1.069958	61.494202	72.363916	0.006150	1.7
102	-1.068666	62.494202	71.497222	0.004324	1.7
103	-1.060432	63.494202	70.651043	0.005001	2.3
104	-1.052920	64.489673	69.828358	0.004965	1.8
105	-1.077410	64.240032	70.032863	0.008131	2.0
106	-1.051890	65.240032	69.220794	0.006875	2.0
107	-1.042873	66.240032	68.427342	0.005788	1.2
108	-1.061869	67.240032	67.651873	0.007933	1.7
109	-1.055688	68.240032	66.893784	0.004478	1.6
110	-1.069282	69.240032	66.152497	0.005771	1.1
111	-1.043082	68.981666	66.342442	0.004387	1.2
112	-1.084538	69.980881	65.613823	0.007670	1.6
113	-1.068935	70.980881	64.900481	0.003050	1.2
114	-1.062074	70.723124	65.082863	0.007405	1.2
115	-1.079140	71.154360	64.778307	0.004215	1.2
116	-1.026056	72.154360	64.082920	0.004724	1.2
117	-1.058913	73.083391	63.450131	0.006794	1.1
118	-1.056365	74.082942	62.783117	0.006595	1.1
119	-1.034351	75.078169	62.132778	0.005492	1.2
120	-1.061971	76.078169	61.492749	0.005389	1.2
121	-1.062858	77.078160	60.865778	0.007277	1.2
122	-1.046444	78.078160	60.251457	0.006809	1.9
123	-1.063852	79.078160	59.649413	0.005062	2.1
124	-1.067006	78.819793	59.803805	0.008798	1.6
125	-1.077002	79.819793	59.210630	0.005454	2.1
126	-1.070112	80.819793	58.629106	0.003845	1.7
127	-1.036321	81.075508	58.482231	0.004787	1.4
128	-1.046671	82.075508	57.914859	0.004027	1.3
129	-1.036913	81.842859	58.045873	0.006036	1.2
130	-1.044031	82.842858	57.486895	0.003243	1.5
131	-1.070844	83.842320	56.938873	0.006264	1.4
132	-1.056450	84.572100	56.545275	0.006498	1.2
133	-1.037161	85.572100	56.014693	0.005915	1.3
134	-1.039282	85.313735	56.150821	0.004317	1.2
135	-1.065739	86.289812	55.639984	0.003415	1.2
136	-1.082213	86.045079	55.767192	0.008454	1.2
137	-1.069675	85.786713	55.902119	0.004179	1.1
138	-1.031275	85.534736	56.034339	0.007526	1.2
139	-1.021951	85.276369	56.170563	0.006922	1.2
140	-1.080241	86.276369	55.646957	0.005799	1.3
